TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
758,405,1,5,11861532,10,Non farÃ² mai (strumentale),,Uomini di mare,Lato & Fabri Fibra,2993,Italian
759,5785,2,5,3496928,14,"Sonata in G Minor Op. 1 no. 4 ""Il trillo del diavolo"": II. Allegro",171866,Giuseppe Tartini,Virtuoso Violin,,English
760,406,1,5,5197223,0,Silent Tears And Roses,231533,Herb Alpert,Midnight Sun,1992,English
761,2432,3,4,179123-A010,1,The Anthem Medley (club mix),7m 4sec,Sonia,Hopelessly Devoted to You (1994),null,Eng.
762,407,1,1,WoM29640429,005,ÄŒist' drug svet (Lajf navadnega Äloveka),00:00,Flirrt,Lajf navadnega lÄloveka,2013,
763,8467,2,2,MBox2192213-HH,8,æŽå¿ƒæ½” - ç­”æ‡‰,244,,Man â™‚ Womavn,03,Chinese
764,408,1,2,MBox9111731-HH,6,Canned Heat - Let's Work Together,193,,Future Blues,00,English
765,409,1,5,11052254,2,Orbit,430000,Model 500,Deep Space,2008,English
766,6837,2,1,WoM12061847,007,Six Four (November),06:32,Colieda,November,,
767,410,1,1,WoM840715,005,Silent Nite (Blues Romances),05:56,Blues Company,Blues R.,,
768,1946,5,4,206711-A04,6,006-Spam,4m 35sec,Sudden Death,Die Laughing (2005),null,Eng.
769,6357,3,5,8189419,3,Day o. Mine,251000,Toktok vs. Soffy O.,Essentieal Dance 2002,2002,English
770,411,1,2,MBox41691511-HH,15,Sleepwalkers - Sleepwalk,134,,The Best of British Rocck 'n' Roll,13,English
771,2644,2,4,147527-A041,25,025-53rd State (live 1986),4m 1sec,Contempt,The Hunter Becomes the Hunted (1986),null,Eng.
772,412,1,3,71630221MB-01,6,"I Loves You, Porgy - Porgy and Bess",6.134,MÃ©dÃ©ric Collignon,,,English
773,6272,2,4,97652-A068,1,001-The Winner Takes It All,4m 54sec,ABBA,"Greatest Hits of the Millennium: 80's, Vol. I (1999)",null,Eng.
774,3981,4,1,WoM25768030,014,Torn (Girls 2k),04:00,Natalie Imbruglia,Girls 2k,2000,
775,413,1,1,WoM104180,019,The Bridge (Lost Souls),01:14,Jan A.P. Kaczmarek,Lost Souls,2000,
776,414,1,3,62489618MB-01,4,Still a Rat - Ill Gotten Gains,2.701,Tanner,,'95,English
777,415,1,4,28655-A08,10,"-journey o 1,000 Yeasrs",4m 52sec,KISS,Psycho Circus (unknown),null,Eng.
778,416,1,5,13002975,8,God's Death (Grave Version),110619,Absurd,Life Beyond the Grave: 1992-1994,2010,[Multiple languages]
779,3291,2,4,90939-A059,5,"005-Boom Boom (12"" remix instrumental)",5m 59sec,Paul Lekakis,Boom Boom (remix '92) (unknown),null,Eng.
780,4913,2,1,WoM25860726,003,- Sex - Death (Novocain),05:03,Bâ€Tonâ€K & Puls,Novocain,2001,
781,417,1,4,56315-A055,9,009-Wake Up,3m 28sec,Hooverphoonic,No More Sweet Music (2005),null,Eng.
782,7671,3,4,200188-A057,B5,0B5-Do the Evolution (Live),3m 42sec,Pearl ZJam,Pearl Jam Twenty (2011),null,Eng.
783,1191,2,4,215716-A055,3,003-Tape Speeds,4m 6sec,Beppu,Output (2009),null,Eng.
784,418,1,1,WoM28863324,026,è¿·è·¯ (å½©é›²å›½ç‰©èªž Original Sound Track 1),01:16,æ¢é‚¦å½¦,å½©Té›²å›½ç‰©èªž Original Sound Track 1,2006,
785,4569,3,3,18272915MB-01,3,Rolling Stone - Living In My Suitcase,6.173,Sarasota Slim,,,English
786,419,1,4,36658-A044,14,014-Sugar Sugar,3m 47sec,Laurel Aitken,"Rolling Stone: Rare Trax, Volume 5: in Summer the City (1998)",null,Eng.
787,420,1,1,WoM27350345,002,Cheese and Freckles (Knock Knock! Who's There?),03:43,Moustache of,Knock Knock! Who's There?,,
788,421,1,5,15327980,3,It Don't Have To Be Funky (To Be A Groove),292000,The Salsoul Orchesttra,Nice 'n' Naasty,2013,English
789,9061,5,2,MBox17743912-HH,19,"Johann Sebastian Bach - Kantate, BWV 27 ""Wer weiÃŸ, wie nahe mir mein Ende?"": VI. Choral ""Welt, ade! ich bin dein mÃ¼de""",45,,"Bach Edition, Volume 11: Cantatas/Kantaten, Volume V",00,German
790,422,1,1,WoM18127541,009,Who Knows Who Cares (Gorilla Manor),03:53,Local Natives,Gorilla Manor,2010,
791,1964,2,2,MBox44226019-HH,B3,Gregory Porter - Free,301,null,Liquid Spirit,13,English
792,423,1,2,MBox9603520-HH, 2,The Dukes of Stratosphear - Have You Seen Jackie?,225,,Psonic Psunspot,87,English
793,9885,3,3,5954377MB-01,6,"Pettybone - Rock Sound: 100% Volume, #155",3.023,Pettybone,,'11,English
794,424,1,1,WoM808845,012,Mommy (Abigail II: The Revenge),06:26,King Diamond,Abigail II: The Revenge,2002,
795,7303,5,4,145847-A070,3,003-Vukovi Tame,2m 21sec,1389,Sjecanja Na Prosle Zime (2010),null,unknown
796,425,1,3,2837914MB-01,7,Duggie Dohl - Twelve Inch Confrontation Mix,4.805,Black Star Liner,,,
797,426,1,2,MBox34559512-HH,14,Freddie McKay - Love Is A Treasure,161,,"Ska - Moonstompers, Shufflers & Skankers",12,English
798,427,1,1,WoM2248226,005,Monostereo (gum monoblond),03:46,monoblond,gum monoblond,2001,
799,1438,3,4,37869-A059,14,014-Labeled,2m 54sec,Sworn Eneemy,JagerMusic: Rarities 2004,2004,Eng.
800,5259,2,2,MBox1305217-HH,13,"Giovanni Battista Pergolesi - Orfeo ""Nel chiuso centro"", Op. 2 No. 4: Nel chiuso centro",88,,Stabat Mater / Orfeo Cantata,95,[Multiple languages]
801,9963,2,3,55923620MB-01,16,Automanual - Ministry of Sound: Summer Annual 2005,5.467,Marco V,,'05,English
802,428,1,5,12600057,B,No Deeper Than Dredge Boats in Flood Waters,,Cavity,Fuck Diablo,1997,English
803,4194,2,3,35444418MB-01,4,Flesh Is the Fever (original mix) - Flesh Is the Fever: The Remixes,5.867,Horrorist,,'98,English
804,429,1,3,26381014MB-01,2,Sambula - Light,3.957,Ethel,,'06,English
805,6190,2,3,30810111MB-01,21,FLY ME TO THE MOON (Instrumental) - NEON GENESIS EVANGELION,null,é·ºå·£è©©éƒŽ,,'95,
806,4048,2,3,21542719MB-01,11,Around the World - Call of the Wild,4.758,Phantoms of FuturFe,,'95,English
807,430,1,4,44135-A068,22,022-Bonnie and Clyde,4m 11sec,Brigitte Bardot,La Madrague (1991),null,Fre.
808,431,1,3,3122530MB-01,2,Sequence II - Sequenced,,Heckmann Verbos,,'00,English
809,432,1,4,116232-A013,2,002-Ezumdda,3m 14sec,Headache,War I - Destructors of the Mind (2008),null,Eng.
810,433,1,1,WoM5235218,003,Forlorn Hope (Monolith of Doubt),06:22,After Forever,Monolith of Doubt,2002,
811,6956,2,3,34495719MB-01,6,"Try Not to Break Anything - Star Trek: Intrepid - Transitions and Lamentations, Original Soundtrack",1.483,Bodo Hartwig,,'09,English
812,434,1,4,141635-A061,8,008-Oil and Water,2m 48sec,The American Dollar,Live in Brooklyn (2010),null,Eng.
813,435,1,1,WoM6723734,008,"Seek & Destroy (2004-07-02: Werchter, Belgium)",00:00,Metallica,"2004-07-02: Werchter, Belgium",2004,
814,436,1,2,MBox8098325-HH,12,Mortician - Re-Animated Dead Flesh,155,,Re-Animated Dead Flesh,05,English
815,437,1,2,MBox26167717-HH,10,Larry Dean - I Should Have Caught My Heart Before It Fell,161,,Completely Live,97,English
816,9579,5,5,6491774,1,2 Smooth,247000,Webbie,Savage Life 2,2008,English
817,721,4,2,MBox7222832-HH,18,Terry Gibbs - Back Bay Shuffle,164,,Jazz-Club Mainstream: Big Bands,91,English
818,438,1,3,2022623MB-01,2,"Requiem, Op. 5: X. Agnus Dei - Berlioz: Requiem / Boito: Prologue to Mefistofele / Verdi: Te Deum (Atlanta Symphony Orchestra & Chorus feat. conductor: Robert Shaw, tenor: John Aler, bass: John Cheek)",12.479,Hector Berlioz,,'85,English
819,439,1,3,5821247MB-01,9,On Our Way Blues - Jazz  Blues (collection),2.885,Tâ€Bone Walker,,'95,English
820,6382,2,5,13741737,A2,Thrilling Murder,88000,Night Birds,Nigth ,2010,English
821,4897,2,1,WoM1527189,013,Girl on My Mind (The Very Best of Buddy Holly and the Crickets),02:18,Buddy Holly,The Very Best of Buddy Holly and the Crickets,2008,
822,225,2,4,112038-A018,10,010-Time for Pepper,1m 38sec,Black Sun Productions,The Impossibility of Silence (2006),null,Eng.
823,4205,2,4,218517-A048,3,003-Brothers of the 4x4,3m 58sec,Han k3,Brothers of the 4X4 (2013),null,Eng.
824,440,1,1,WoM33334320,002,Your Love (The One You Need),04:30,Shane & Shane,The One You Need,,
825,1981,2,5,4171717,9,OdcizenÃ­,292293,BratÅ™i OrffovÃ©,Bingriwingri,2005,Czech
826,8235,3,5,940260,7,Lies,310853,Camel,On the Road 1982,1994,English
827,4624,4,5,8464254,1,"Vesper Op. 37: Reading. ""Glory be to the holy...""",29600,Ð¡ÐµÑ€Ð³ÐµÐ¹ Ð’Ð°ÑÐ¸Ð»ÑŒÐµÐ²Ð¸Ñ‡ Ð Ð°Ñ…Ð¼Ð°Ð½Ð¸Ð½Ð¾Ð²,"Vesper Op. 37 (MDR Rundfunkchor Leipzig, Howard Arman)",2002,English
828,9952,2,1,WoM618624,011,Weather With You (It's Only Natural),00:00,Crowded House,It's Only Natural,,
829,441,1,5,6319354,13,Uncloudy Day,181000,The Staple Singers,Artist's Choice: Emmylou Harris,2004,English
830,6008,3,5,1700468,2,Circles,221093,Soul Coughing,107.7 The End: End Sessions,1998,English
831,442,1,3,53654312MB-01,13,19841031,8.667,U2,,,English
832,1233,5,4,48325-A031,15,015-Sacrificium: Offerte Domino,1m 36sec,[religious music],Spiritus Les chants de l'ame (unknown),null,unknown
833,443,1,3,29353318MB-01,27,The Sissy - Heil Head!,,Head,,'07,English
834,444,1,2,MBox10878129-HH,3,Spires That in the Sunset Rise - Little for a Lot,621,,Four Winds the Walker,05,English
835,1194,2,5,7688961,6,Man vs. vrouw,181000,Hansen Tomas,Stad & land,2008,Dutch
836,152,3,2,MBox6832722-HH,9,Sixpence-None-the-Richer---Don't-Dream-It's-Over,243,,The Best of Sixpence None the Richer,04,English
837,445,1,3,46810516MB-01,7,Looking More Deeper Inside - First Impressions of Love,3.367,JeremieB eul,,'10,English
838,5870,2,5,9497479,2,æ˜Ÿåº§ã®ç”±æ¥,242226,in cremonica mono+,ãƒãƒ«ã€‚,2010,Japanese
839,225,5,2,MBox21499128-HH,10,Black Sun Productions - Time for Pepper,98,,The Impossibility of Silence,7,English
840,248,2,4,221738-A046,18,018-Ho Do You Sleep,4m 56sec,The Stone Roses,Totally Stoned (1998),null,Eng.
841,446,1,4,152113-A038,4,004-Fa Cho Ec Le Spot,10m 55sec,Muzik 4 Machines,Music for Machines by Machines ((2010),null,Eng.
842,447,1,5,3265776,15,"After You Get What You Want, You Don't Wan tIt",210043,Marilyn Monroe,Marilyn Monroe,1990,English
843,5742,4,3,727357MB-01,11,Growin' Up - The History of a Hoodlum,5.002,T-Bone,,,English
844,448,1,5,4636530,2,The Night Chicago Died,124053,Yo La Tengo,Yo La Tengo Is Murdering the Classics,2006,English
845,449,1,3,820969MB-01,13,The Chase - Hang 'Em High /Guns for San Sebastian,1.938,Ennio Morricone,,'91,English
846,8924,2,2,unknown,6,Heintje - Wenn ich einst groÃŸ bin,176,,Seine groÃŸen Erfolge,90,German
847,450,1,5,6413125,,L'Escalade obscure,211693,Charles Koechlin,"Les Heures Persanes, Op. 65 (Kathryn Stott)",2003,French
848,451,1,2,MBox1439423-HH,5,Leviticus - Burial (Chronic 1 edit),222,,FFRR Classics 1988-1998,98,English
849,6930,4,4,35837-A030,8,008-The Man You Love,3m 56sec,Il Divo,Il Divo (2005),null,unknown
850,452,1,5,1787305,18,The Party's Over,224550,Anita Kerr,Music Is Her NaXme,,English
851,453,1,2,MBox34950723-HH,2,Gladhands - Smallsville,207,,La Di Da,,English
852,7351,2,5,14261615,16,Tommy Can You Hear Me?,110040,Maggie Bell,Tommy (London Symphony Orchestra & Chamber Choir),1972,English
853,5025,5,1,WoM29858513,006,"Wir Haben uns gerade noch gefehlt (Oh, ein Reh!)",04:37,GrossstadtgeflÃ¼ster,"Oh, ein Reh!",2013,
854,9270,3,5,7226189,5,Where  the Wild Things Are,162000,Chenard Walcker,Middle,2004,English
855,454,1,2,MBox11617735-HH,3,Abida Parveen - Ghazal (Hakim Nasser),651,,Chants soufis du Pakistan,,French
856,3048,4,2,mbox24798414-hh,13,Kipling - How the First Letter was Written 1/4,280,,Just So Stories,,English
857,455,1,5,555276,5,Marlborough Street Blues,138000,Ian & Sylvia,Early Morning Rain,1965,English
858,9413,2,2,MBox4282348-HH,2,Simon  Mason - Mama auf dem Schulfest 2,302,,Die Quigleys ganz groÃŸ,,German
859,682,2,3,2881528MB-01,9,No Matter What Goes Right - 1995 Kerrville Highlights,4.547,Trout Fishing in America,,'95,English
860,456,1,1,WoM25908615,006,Tonight (Underwater Moonlight),03:44,Soft Boys,Underwater Moonlight,1990,
861,457,1,2,MBox2274152-HH,12,La Swija - Pret Ã  tout (feat. K-Rlos),null,,Track One 2,08,French
862,458,1,5,15568405,1,Semblance,201693,Klaus Suonsaari,Portrait in Sound,,English
863,459,1,4,160553-A055,15,015-Ze do Caroco,unknown,Grupo Revelacao,Ao Vivo Na Palma Da Mao (2004),,Por.
864,7847,2,5,7554344,10,Basin Street Blues,199333,Louis Armstrong,The Quintessence: New York â€“ Chicago 1925-1940,1 994,English
865,460,1,4,104982-A065,5,005-Il peut pleuvoir,1m 44sec,Jacques Brel,C'est comme ca (2008),null,Fre.
866,461,1,5,9782606,26,"Die EntfÃ¼hrung aus dem Serail, KV 384 (Harmoniemusik): Allegro ""Welche Wonne, welche Lust""",144000,Amadeus Amadeus Mozart,"Die Harmoniemusiken, Foleg 1: Die ZauberflÃ¶te / Die EntfÃ¼hrung aus dem Serail (Consortium Classicum)", 1988,German
867,8646,2,3,13365318MB-01,10,Catnap (...Speaking of People With Mental Disorders in the Electronic Music Industry) - Lesser / kid606,5.275,kid606,,'98,Engllish
868,462,1,5,9822633,3,First Flight,238000,Vincent Diamante,Cloud OST,2005,Eneglish
869,463,1,4,72289-A058,13,013-Paukstis,unknown,Skyle,1 + 1 = 1 (1995),null,Lit.
870,464,1,5,6208586,26,Kelling liggur Ã­ durum deyÃ°,43666,[unknownn],Alfagurt ljÃ³Ã°ar mÃ­n tunga,1995,Faroese
871,5210,2,4,92040-A025,38,038-The Church Is One Foundation,1m 19sec,Alasdair Trotter,Caledonia Cathedral: Hymns for the Bagpipe (unknown),null,Eng.
872,465,1,2,MBox14427732-HH,21,Ann-Margret & Al Hirt - My Baby Just Cares for Me,129,,1961-1966,,English
873,8949,2,5,7966649,3,Rainy Day (live at Hofstra 1984),214000,APB,Something to Believe In (bonus disc),2006,English
874,9299,2,3,63775915MB-01,10,Remember Me - T.I.P. Drill,3.45,T.I. feat. Mary J. Blige,,,English
875,2811,3,5,7528890,16,The Jewel in the Crown,141000,The Park Ensemble,The Themes Album,,English
876,466,1,4,166897-A018,15,015-Lill,unknown,Lauri Nebel,Luguauk (2003),null,Est.
877,8595,4,5,3966803,4,I Take a Lot of Pride in What I Am,169026,Merle Haggard,Steve Stone Cold Country,1999,English
878,467,1,2,MBox324029-HH,4,The Haunted - Undead,129,,Th eHaunted,03,English
879,6691,2,5,5329782,15,Lecam pa vecam,,Raimonds Pauls,Raimonda Paula dziedÄÅ¡anas svÄ“tki,2006,Latvian
880,468,1,3,461518MB-01,5,Porn - Alchemy,3.678,Leah Andreone,,'98,English
881,8055,2,5,14441556,2,Golden Brown,243000,Kaleef,"MTV Raps, Volume 2",,English
882,8384,3,4,228792-A051,7,007-Deeper Blue,3m 46sec,The Wakefields,Falling Down Blue (unknown),null,Eng.
883,3711,2,2,MBox26621936-HH,10,Red Earth & Rust - Tango Man,178,,Dark Mercy,10,English
884,469,1,4,38500-A020,14,014-Die Blouberge,4m 8sec,Randall Wicomb,Uiteindelik (unknown),null,Afr.
885,1256,3,3,2130575MB-01,8,Latva bee - Kuningas,2.692,Clifters,,'87,Finnish
886,9371,2,5,13033663,79,Weather Report: Happy Hour (30 second version),30000,Christian SteinhÃ¤user,Modern Communication,,English
887,470,1,1,WoM8131724,006,Sweet and Slow (Guy's All-Star Shoe Band),03:04,Guy's All Star Shoe Band,Guy's All-Star Shoe Band,,
888,8398,2,2,MBox3937910-HH,3,Samuli Edelmann - Huilunsoittaja,267,,Vain elÃ¤mÃ¤Ã¤ 1992-2005,05,Finnish
889,5626,2,5,10756943,12,Cheating Is a Risky Business,262000,Sir Lawrence,"Blues Revue: Blues Music Sampler (Aug - Sep, 2007)",2007,English
890,4651,5,1,WoM1357406,025,"BulerÃ­as gitanas (Flamenco: The 150 Original Moments, Volume 1)",02:46,CamarÃ³n de la Isla,"Flamenco: The 150 Original Moments, Volume 1",,
891,4683,3,2,MBox606612-HH,10,Wolfgang Amadeus Mozart - Alla Turca,230,,Lifescapes: Classical Piano,,English
892,3052,3,4,12780-A017,18,"018-Love Is in the Air, and Is Floating Away",4m 7sec,Dead Red Sea,Sound Spirit Fury  Fire: Sampler No. 3 (2001),null,Eng.
893,471,1,1,WoM21287028,017,Bother Me (remix) (Targeting Zone),00:00,Insight,Targeting Zone,2008,
894,472,1,3,23 05089MB-01,28,Traumliedchen - L.Jobst - Der LyrikwÃ¼rfel 42,1.941,Lutz GÃ¶rner,,,German
895,2198,2,3,20511911MB-01,4,The CN Tower Belongs to the Dead (Many Ives version) - Many Lives â†’ 49 MP,5.467,Final Fantasy,,'06,English
896,8629,4,1,WoM829032,003,Esquizoide (En concierto),05:25,Iconoclasta,En concierto,1990,
897,473,1,1,WoM17011346,004,"(Just Can't Help) My Love (Teen Town USA, Volume 11)",02:05,Vic Wilder,"Teen Town USA, Volume 11",2006,
898,474,1,2,MBox1340548-HH,14,Shaba Robo Grigorov & MIDI - MalÃ½ Gavroch,352,,VdÃ½chni reggae,95,Slovak
899,475,1,5,5627941,10,Strike Out,113000,Make or Break,Think About It,2005,English
900,8093,4,2,MBox43846322-HH,4,Mark BoomRbastik & Eduardo Lopez Delgado - Hitze,251,,AdiÃ³s Berlin,11,German
901,9525,2,1,WoM1745983,005,Christmas All Over the World (Christmas Vocals),02:38,Mari Falcone & Bill Cantos,Christmas Vocals,,
902,476,1,4,4254-A037,13,013-One Way,2m 20sec,Larry Norman,In Another Land (25th Anniversary Edition) (1999),null,Eng.
903,477,1,4,113706-A050,25,025-Like Miles,0m 33sec,Frans van Steijn,Emotional TV Themes (unknown),null,Eng.
904,478,1,5,14827221,6,The 81,151000,Candy & The Kisses,Gary Crowley Presents Where the Action Is!,2004,English
905,479,1,1,WoM26611127,002,"Jungle Drum (The Dome, Volume 51)",02:12,EmilÃ­ana Torrini,"The Dome, Volume 51",2009,
906,480,1,2,MBox4311375-HH,15,William Wallace - Sister Helen: Vivace,180,,The Passing of Beatrice / Sir William Wallace / Villon / Sister Helen,96,hEnglish
907,4131,2,4,93048-A028,15,015-Where Is the Conscience of the World,4m 8sec,J.C. Mark,Adventures in Music 3: Pop/Rock Sampler (1990),unknown,Eng.
908,481,1,2,MBox25687728-HH,15,White Pagoda - Adventures,267,,Chair Evolution (Not Design),10,English
909,2551,2,1,WoM689956,007,Devotion (Armin remix) (Trancemaster 2006),08:06,Yahel,Trancemaster 2006,2000,
910,5764,2,2,MBox584635-HH,1,Dougie MacLean - Singing Land,265,,Land Singing,,English
911,2773,2,5,15688874,5,Au Noir,234000,Xiu,Possession,2013,English
912,482,1,2,MBox18299730-HH,2,I_Melt_-_Anormale,79,,Bravi ragazzi,97,Italian
913,483,1,5,8666736,15,Jack O' Green,210000,Richard Allen Harvey,Lifecycles,,Englis
914,484,1,4,62223-A058,12,012-Es stieg ein Engel vom Olymp,2m 58sec,Costa Cordalis,Das groe deutsche Schlager - Archiv (unknown),null,Ger.
915,485,1,5,3191716,14,Punk Bitch Flash,205000,Self,"Porno, Mint & Grime",2005,English
916,486,1,3,22108416MB-01,15,Soul Limbo - Solid Gold Soul 1967-1968,2.386,Booker T. & The MGâ€™s,,'99,English
917,8243,3,1,WoM12152849,010,"L'ArsÃ¨ne (L'IntÃ©grale, Volume 5 : En public)",03:12,Jacques Dutronc,"L'IntÃ©grale, Volume 5 : En public",1992,
918,487,1,1,WoM686223,009,Walk Through Fire (The Rumour),05:38,Olivia Newton-John,The Rumour,1988,
919,1149,2,5,10929517,7,Hard,210320,Asia,,1994,English
920,1316,2,4,142151-A02,2,002-A Tale of Slaughtering,3m 11sec,Milking the Goatmachine,Back,null,ENG.
921,1412,2,3,16094113MB-01,8,Interview 4 - 2005-08-30: KEXP Live,,Death Cab for Cutie,,,English
922,488,1,2,MBox4445798-HH,7,Gary Moore - White Knuckles (Rockin' & Rollin'),null,,The Very Best,,English
923,6241,2,1,WoM3186030,0 04,Unearthed Statue (Computer Death),01:45,Infinity Frequencies,Computer Death,2013,
924,489,1,2,MBcx7976321-HH,Z,Warrant - D.R.F.5.R.,Z33,,Live in Long Beaeh 1990,,Englis h
925,1772,3,5,10949305,25,Woodward's Home Movies,159000,Michael Giacchino,Super 8,2011,English
926,828,3,2,MBox3577375-HH,3,Sneaky Sound System - I Love It,229,,Pictures,,English
927,1617,2,2,MBox32998619-HH,15,Charlie Parker - Sippin' at Bells,143,,Portarit,00,English
928,490,1,1,WoM5809048,003,"This, Every Day, for the Rest of Your Life (New General Catalogue)",05:18,Redj etson,New General Catalogue,2005,
929,437,2,3,4209594MB-01,10,I Should Have Caught My Heart Before It Fell - Completely Live,2.687,Larry Dean,,'97,English
930,491,1,5,5619566,3,"Las Cubanas, QuuÃ© Lindas Son",317133,Mamborama,Al Directamente Mambo,2006,Spaniish
931,9822,2,4,73263-A017,6,006-Sometimes,4m 8sec,Soumia,Still in Love (2005),null,Fre.
932,492,1,3,3210057MB-01,12,Laptop - La Pltaa,4.95,Jota Quest,,'08,Portuguese
933,9134,3,5,4771105,11,Ride on Time,275466,Black Box,Greatest Eighties Collection,,
934,493,1,5,11659309,69,Ass Morning,31000,The Gerogerigegege,Tokyo Anal Dynamite,2090,Japanese
935,6118,2,3,2008131MB-01,2,La vie c'est comme une dent - Album NÂº2,1.467,Serge Reggiani,,'87,French
936,494,1,3,13392616MB-01,1,Dil Ka Rishta,5.064,Nadeem-Shravan,Dil Ka Rishta,,Hindi
937,495,1,1,WoM11830435,006,null,05:01,J.K. Rowling,Harry Potter und der Halbblutprinz (feat. narrator: Rufus Beck),2006,
938,9785,3,2,MBox17939030-HH,17,Adam Green - Leaky Flask,192,,Sixes & Sevens,08,English
939,496,1,2,MBox14512421-HH,8,El Ãšltimo de la Fila - No me acostumbro,265,,Nuevas mzclas,87,Spanish
940,497,1,5,15684297,10,Diseases,,General Smiley,Dread Meets Greensleeves: A Westside Revolution,2008,English
941,498,1,2,MBox18700234-HH,20,piedmonster - skafee,139,,magic and weather,05,English
942,558,3,1,WoM11070610,002,Login (Self Destruct) (Once Upon a Time in the Land of Cyberspace),01:55,Manifesto,Once Upon a Time in the Land of Cyberspace,2005,
943,499,1,2,MBox23316719-HH,3,Blair Aaronson - E-Motion,1 13,,The Solo Sets: Piano,,English
944,500,1,5,1735966,6,Death Approaches,Room Service,Panzerchrist,Room Service,2003,English
945,887,3,4,75471-A02,4,004-Lo qQue sangra (La cupula) (version remix),6m 8sec,Soda Stereo,Languis (1990),null,Spa.
946,501,1,3,13498513MB-01,1,As Time Goes By (Casablanca) - Conniff no Cinema & Tempos Modernos,2.963,Ray Conniff,,,
947,9555,2,3,46743414MB-01,10,"River of Love - My Secret Studio, Volume 1",3.617,Bill Nelson,,'92,English
948,502,1,3,26638722MB-01,16,Let's Get Together - ã™ã°ã‚‰ã—ãã“ã®ã›ã‹ã„ Original Soundtrack,0.267,çŸ³å…ƒä¸ˆæ™´,,'07,Japanese
949,278,4,2,MBox27494211-HH,22,Jon Rose & Otomo Yoshihide - Memoirs Shopping,68,,Tatakiuri,95,English
950,503,1,1,WoM1967339,016,Le Fiacre (Collection or),02:13,Lnia Margy,Collection or,1992,
951,504,1,2,MBox42508829-HH, ,Beautiful Nubia and the Roots Renaissance Band - Eleko'Dere,277,,FÃ¨rÃ¨,5,English
952,505,1,4,10930-A024,13,013-Fight 2,1m 13sec,,Final Fantasy IV: Original Sound Version (2004),null,Eng.
953,9565,2,5,10187451,7,Ð›Ð¾Ð»Ð°,,Ð”Ð¼Ð¸Ñ‚Ñ€Ð¸Ð¹ ÐœÐ°Ð»Ð¸ÐºÐ¾Ð²,PianomaniÑ,2007,Russian
954,506,1,2,MBox8509810-HH,8,Seth Horan - Bad For You,251,,notwithstanding,,English
955,507,1,5,12632657,7,instruments of adrkness,434000,Art of Noise,In Visible Silence,1988,TEnglish
956,4022,2,4,42958-A039,9,009-Keep Giving Me Love (radio edit),4m 24sec,D-Train,MIusic (1992),null,Eng.
957,4591,2,1,WoM1564686,007,one more night outside the home (lonesome landscapes),00:00,patryk_t,lonesome landscapes,2008,
958,8130,3,4,187131-A022,5,005-Cuestion de madera,5m 5sec,Bacilos,Bacilos (unknown),null,Spa.
959,508,1,3,5980314MB-01,7,Swing Street - Every Turn of the World,4.305,Christopher Cross,,,English
960,571,4,3,46224119MB-01,10,Jabberwock - MÃ¢cheur de mots,4.878,Steve Waring,,'10,French
961,509,1,3,4522144MB-01,18,"Starting Line 2 - Rock, Classic Rock",2.183,Benjamin Marks & Christopher Ashmore,,'08,English
962,3267,2,5,11562807,5,Guernsey,251000,"Slovak Radio Symphony Orchestra, Peter Breiner","Complete National Anthems of the World, Volume 4: Guadeloupe - Kyrgyzstan",2006,English
963,3603,2,3,1059213MB-01,6,RÃªveries (edit) - Sacrebleu,3.68,Dimitri From Paris,,'99,French
964,510,1,3,2208956MB-01,12,Correct Spellings: Minor Sevenths - The Relative Pitch Ear Training SuperCourse - Level 3 - Lesson 18,3.55,David Lucas Burge,,,English
965,511,1,3,7932312MB-01,11,"Right on Target - Gay Classics, Volume 1: Ridin' the Rainbow",6.327,Paul Parker,,'95,English
966,4997,2,2,MBox21255316-HH,4,Henri DÃ¨s - L'Ã‚ne blanc,405,,"Henri DÃ¨s , Volume 15: GÃ¢teau",07,French
967,512,1,2,MBox40256516-HH,6,Richard Wagner - Die WalkÃ¼re: Der beiden Flucht,42,,Der Ring ohne Worte - Orchesterquerschnitt aus dem Ringzyklus (Berlin Philharmonic Orchestra feat conductor: Lorin Maazel),88,German
968,513,1,2,MBox40039032-HH,59,Jack Higgins - The eagle has flown - CD 3 - Track 59,2 8,,The Eagle Has FloVwn,,English
969,514,1,4,140991-A066,1,001-Miaad Gaah,5m 14sec,Reza Yazdani,25:00 PM (2010),null,Per.
970,5603,4,1,WoM1452694,006,Ecclesie militantis (IntÃ©grale des Motets isorythmiques (Huelgas-Ensemble feat. conductor: Paul Van Nevel)),05:11,Guillaume Dufay,IntÃ©grale des Motets isoryhmiques (Huelgas-Ensemble feat. conductor: Paul Van Nevel),2007,
971,515,1,1,WoM2316496,002,Cent mille raisons (Fiori: Un musicien parmi tant d'autres),04:04,Mes Aieux,Firoi: Un musicien parmi tant d'autres,2006,
972,7939,3,3,3229748MB-01,6,Monsetr Man - Live From Russia,3.15,U.D.O.,,'01,Ennglish
973,516,1,5,13375712,8,ÐŸÑƒÐ¿Ñ‹Ñ€Ñ‹ÑˆÐºÐ¸,10000,ÐŸÐ¾Ñ‚Ð°Ð¿ Ð¸ ÐÐ°ÑÑ‚Ñ ÐšÐ°Ð¼ÐµÐ½ÑÐºÐ¸Ñ…,ÐÐµ Ð›ÑŽÐ±Ð¸ ÐœÐ½Ðµ ÐœÐ¾Ð·Ð³Ð¸,2009,Russian
